0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:22:38 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:23:44 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:23:44 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:23:45 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:23:45 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:01 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:01 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:03 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:03 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:04 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:04 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:18 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?page=1&maxPageItem=2&sortName=title&sortBy=desc&type=list HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:18 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:20 +0700] "GET /JSP-Servlet-JDBC-Initial/admin-new?type=edit&id=54 HTTP/1.1" 200 12804
0:0:0:0:0:0:0:1 - - [21/Sep/2020:03:24:20 +0700] "GET /JSP-Servlet-JDBC-Initial/ckeditor/ckeditor.js HTTP/1.1" 404 804
